t,x,y,pupil
0.0,0.217,0.7958,3.313
0.033,0.2182,0.8147,3.374
0.067,0.2396,0.7885,3.357
0.1,0.2046,0.8205,3.336
0.133,0.2045,0.7939,3.671
0.167,0.2381,0.8102,4.118
0.2,0.2353,0.8124,3.617
0.233,0.182,0.7811,4.148
0.267,0.2316,0.8029,4.298
0.3,0.2063,0.7927,3.469
0.333,0.252,0.7882,4.031
0.367,0.2095,0.792,3.594
0.4,0.2211,0.7828,3.453
0.433,0.2397,0.8131,3.987
0.467,0.1986,0.8285,3.651
0.5,0.2151,0.8111,3.299
0.533,0.2554,0.8116,3.517
0.567,0.254,0.978,3.72
0.6,0.312,0.9374,3.843
0.633,0.2878,0.9991,3.413
0.667,0.2656,0.9843,4.048
0.7,0.2778,1.0,3.385
0.733,0.2973,0.9918,3.418
0.767,0.2775,0.959,3.893
0.8,0.308,0.9898,3.308
0.833,0.3312,1.0,3.744
0.867,0.3067,0.9644,3.948
0.9,0.3168,0.9404,3.848
0.933,0.2802,0.9804,2.796
0.967,0.2967,0.9739,2.474
1.0,0.3107,0.9591,2.693
1.033,0.273,0.9933,4.17
1.067,0.3384,0.9957,3.207
1.1,0.2602,0.9718,3.442
1.133,0.3014,1.0,4.057
1.167,0.2598,0.9786,3.301
1.2,0.2775,0.9752,3.887
1.233,0.3019,0.976,3.662
1.267,0.2861,0.9975,3.122
1.3,0.2912,1.0,3.375
1.333,0.5907,0.2863,3.551
1.367,0.5958,0.2687,3.606
1.4,0.5847,0.2837,3.302
1.433,0.6129,0.2864,3.874
1.467,0.5901,0.2695,3.812
1.5,0.6537,0.2206,3.813
1.533,0.6341,0.2919,3.264
1.567,0.5737,0.2953,3.081
1.6,0.6063,0.2849,2.896
1.633,0.604,0.2857,3.685
1.667,0.6032,0.2509,3.173
1.7,0.6373,0.253,2.947
1.733,0.5941,0.279,3.193
1.767,0.6087,0.2751,3.979
1.8,0.615,0.265,4.013
1.833,0.1156,0.5335,3.976
1.867,0.041,0.5257,3.579
1.9,0.0774,0.5479,3.606
1.933,0.0994,0.5496,3.215
1.967,0.09,0.5289,3.752
2.0,0.0877,0.5582,2.601
2.033,0.0892,0.5289,4.891
2.067,0.0791,0.5538,3.518
2.1,0.1085,0.5611,3.374
2.133,0.0776,0.5304,3.496
2.167,0.0541,0.5423,4.318
2.2,0.1062,0.5124,2.833
2.233,0.0619,0.5477,2.957
2.267,0.0856,0.5123,3.942
2.3,0.1188,0.5339,2.924
2.333,0.0387,0.5376,3.443
2.367,0.0883,0.514,2.935
2.4,0.0715,0.5242,3.957
2.433,0.0582,0.5617,3.8
2.467,0.1172,0.5459,2.999
2.5,0.0897,0.55,4.155
2.533,0.0635,0.537,3.322
2.567,0.0808,0.5126,4.104
2.6,0.9773,0.402,3.611
2.633,0.9993,0.4201,2.457
2.667,1.0,0.4299,2.587
2.7,0.945,0.3879,3.444
2.733,0.9703,0.456,3.885
2.767,0.9948,0.447,3.801
2.8,0.9871,0.4042,3.992
2.833,1.0,0.4259,3.956
2.867,0.9693,0.4151,3.378
2.9,1.0,0.4328,3.505
2.933,0.9998,0.4422,3.443
2.967,0.9876,0.4283,2.839
3.0,0.974,0.4099,3.989
3.033,1.0,0.436,3.113
3.067,1.0,0.4509,3.477
3.1,0.9399,0.3964,3.177
3.133,0.9553,0.4503,3.327
3.167,1.0,0.425,3.748
3.2,0.9956,0.3889,3.77
3.233,0.9884,0.3981,3.899
3.267,0.9577,0.4056,3.268
3.3,0.988,0.4472,3.122
3.333,1.0,0.4354,2.48
3.367,0.9501,0.4055,4.625
3.4,1.0,0.3856,3.138
3.433,0.9847,0.4255,3.26
3.467,0.997,0.4398,3.658
3.5,0.9888,0.38,4.192
3.533,0.9581,0.4303,3.405
3.567,1.0,0.4179,3.443
3.6,0.9723,0.4327,3.193
3.633,0.9666,0.409,2.913
3.667,0.9776,0.4198,3.587
3.7,0.9949,0.4374,2.979
3.733,0.9839,0.4436,3.908
3.767,1.0,0.4334,3.326
3.8,0.9715,0.3957,3.185
3.833,0.9617,0.4116,3.113
3.867,0.9817,0.4206,4.118
3.9,1.0,0.4549,3.62
3.933,0.9833,0.3962,3.608
3.967,0.9702,0.431,3.199
4.0,0.5299,0.8282,3.68
4.033,0.536,0.8297,3.58
4.067,0.5401,0.7965,4.105
4.1,0.518,0.7865,3.092
4.133,0.4928,0.8117,3.433
4.167,0.5168,0.7972,3.503
4.2,0.5203,0.806,3.098
4.233,0.5554,0.8124,3.22
4.267,0.5214,0.8167,3.286
4.3,0.5421,0.8244,4.116
4.333,0.5013,0.7986,3.591
4.367,0.5425,0.8238,3.047
4.4,0.5439,0.8334,3.845
4.433,0.5462,0.8278,3.618
4.467,0.5119,0.8177,3.125
4.5,0.5095,0.797,2.623
4.533,0.5384,0.7901,3.115
4.567,0.5216,0.829,3.957
4.6,0.5321,0.8049,3.713
4.633,0.7713,0.4761,4.015
4.667,0.7086,0.4818,2.443
4.7,0.7457,0.4927,3.346
4.733,0.7288,0.4551,3.263
4.767,0.7302,0.5072,3.804
4.8,0.6872,0.5216,3.672
4.833,0.7494,0.5316,3.624
4.867,0.732,0.4911,3.36
4.9,0.7474,0.4885,3.303
4.933,0.7362,0.5221,3.616
4.967,0.6913,0.4794,3.261
5.0,0.7067,0.4766,3.061
5.033,0.7465,0.48,3.251
5.067,0.2368,0.3733,3.789
5.1,0.198,0.3483,3.4
5.133,0.1834,0.3776,3.339
5.167,0.2124,0.317,3.549
5.2,0.2474,0.3218,3.356
5.233,0.2088,0.3219,3.487
5.267,0.1959,0.322,3.881
5.3,0.1818,0.3054,3.624
5.333,0.1989,0.3,2.714
5.367,0.1929,0.3498,3.677
5.4,0.2248,0.3429,3.237
5.433,0.189,0.3125,3.202
5.467,0.2175,0.3473,3.943
5.5,0.2023,0.3578,3.611
5.533,0.2052,0.3359,3.821
5.567,0.2506,0.3451,3.122
5.6,0.235,0.3108,3.464
5.633,0.1992,0.3365,3.604
5.667,0.2284,0.313,3.608
5.7,0.2177,0.3111,3.435
5.733,0.1721,0.3088,2.98
5.767,0.2548,0.3048,4.106
5.8,0.2317,0.2936,3.332
5.833,0.1805,0.3173,3.34
5.867,0.208,0.3599,2.373
5.9,0.23,0.3613,3.214
5.933,0.1748,0.3278,3.478
5.967,0.2405,0.3171,3.157
6.0,0.4556,0.6177,3.875
6.033,0.4729,0.6046,3.39
6.067,0.4706,0.6355,3.75
6.1,0.4777,0.6277,3.842
6.133,0.4488,0.6206,3.449
6.167,0.489,0.5799,3.349
6.2,0.4869,0.5793,4.183
6.233,0.4892,0.6192,3.901
6.267,0.4886,0.6227,3.754
6.3,0.5161,0.6059,4.019
6.333,0.4924,0.6353,3.299
6.367,0.4823,0.6348,3.252
6.4,0.4683,0.6134,3.596
6.433,0.4987,0.6079,3.539
6.467,0.4944,0.6155,3.692
