t,x,y,pupil
0.0,0.465,0.4805,4.055
0.033,0.4723,0.498,3.537
0.067,0.463,0.4519,3.283
0.1,0.4767,0.4322,3.979
0.133,0.4948,0.5026,4.182
0.167,0.4907,0.4754,3.411
0.2,0.4635,0.4762,3.615
0.233,0.4542,0.473,3.374
0.267,0.4696,0.4765,3.739
0.3,0.4488,0.4722,3.968
0.333,0.4614,0.4509,3.212
0.367,0.455,0.4678,4.275
0.4,0.4727,0.4131,3.539
0.433,0.4557,0.4898,3.4
0.467,0.4958,0.4718,3.709
0.5,0.4625,0.4535,3.57
0.533,0.4949,0.4636,3.572
0.567,0.4782,0.4408,2.523
0.6,0.4536,0.4903,4.334
0.633,0.4781,0.4677,3.717
0.667,0.4394,0.4721,3.542
0.7,0.4741,0.4832,3.982
0.733,0.4439,0.4458,3.431
0.767,0.4662,0.4643,3.407
0.8,0.4599,0.455,4.056
0.833,0.4486,0.4637,3.201
0.867,0.4459,0.4574,3.494
0.9,0.4744,0.4498,3.9
0.933,0.4605,0.4982,3.593
0.967,0.4444,0.4551,3.735
1.0,0.4675,0.4858,3.032
1.033,0.4776,0.4854,2.738
1.067,0.4785,0.4526,3.835
1.1,0.4559,0.4629,3.826
1.133,0.4683,0.4828,4.068
1.167,0.4582,0.4697,4.261
1.2,0.1501,0.5605,3.556
1.233,0.1405,0.53,3.69
1.267,0.124,0.5657,3.977
1.3,0.1369,0.5837,2.89
1.333,0.1332,0.5526,3.488
1.367,0.164,0.5654,3.349
1.4,0.163,0.5545,3.65
1.433,0.132,0.5865,4.145
1.467,0.1614,0.5472,3.49
1.5,0.1346,0.6037,3.227
1.533,0.1526,0.6075,3.134
1.567,0.1515,0.5669,3.088
1.6,0.1575,0.5903,3.509
1.633,0.1496,0.5636,2.523
1.667,0.1452,0.5617,3.891
1.7,0.1559,0.5916,3.519
1.733,0.1584,0.5576,3.385
1.767,0.1452,0.5554,3.496
1.8,0.1485,0.5435,3.371
1.833,0.1625,0.5699,4.059
1.867,0.1419,0.5658,2.899
1.9,0.1483,0.5697,2.745
1.933,0.1505,0.5829,3.671
1.967,0.1622,0.5335,2.933
2.0,0.1534,0.6034,3.609
2.033,0.1388,0.5731,3.697
2.067,0.1419,0.5402,2.734
2.1,0.1689,0.5788,3.473
2.133,0.1126,0.5625,3.789
2.167,0.1576,0.5771,3.271
2.2,0.1249,0.5782,3.086
2.233,0.1513,0.5437,4.026
2.267,0.1444,0.5775,3.052
2.3,0.165,0.5639,3.544
2.333,0.1718,0.5669,3.807
2.367,0.1551,0.5804,3.071
2.4,0.1334,0.5683,3.738
2.433,0.13,0.5416,3.158
2.467,0.1381,0.5544,3.659
2.5,0.6057,0.4873,3.49
2.533,0.6011,0.483,3.993
2.567,0.6368,0.4816,3.911
2.6,0.5822,0.4426,3.93
2.633,0.6314,0.4949,3.126
2.667,0.6163,0.5016,3.582
2.7,0.6241,0.4931,3.22
2.733,0.6025,0.5034,4.449
2.767,0.6488,0.5099,3.413
2.8,0.6207,0.4903,3.456
2.833,0.6376,0.4791,3.15
2.867,0.6334,0.4726,3.447
2.9,0.6414,0.5062,3.071
2.933,0.6427,0.4935,3.652
2.967,0.5994,0.49,3.745
3.0,0.6228,0.4822,3.06
3.033,0.6176,0.5194,3.157
3.067,0.6253,0.503,3.766
3.1,0.6284,0.4753,3.284
3.133,0.6249,0.4811,3.672
3.167,0.6339,0.4722,3.051
3.2,0.5995,0.4848,4.623
3.233,0.6221,0.477,2.407
3.267,0.6112,0.487,3.529
3.3,0.6175,0.4795,3.595
3.333,0.6326,0.4873,3.794
3.367,0.6332,0.4936,3.036
3.4,0.6055,0.4822,3.368
3.433,0.6344,0.4885,3.478
3.467,0.6466,0.4848,3.3
3.5,0.6143,0.4678,3.73
3.533,0.5862,0.4681,3.347
3.567,0.1567,0.8055,3.997
3.6,0.131,0.8608,3.242
3.633,0.1636,0.8543,2.878
3.667,0.1486,0.8597,3.842
3.7,0.1505,0.8104,3.411
3.733,0.1303,0.8142,3.178
3.767,0.1378,0.8685,3.726
3.8,0.1242,0.81,3.532
3.833,0.149,0.8,3.719
3.867,0.1384,0.8438,2.89
3.9,0.168,0.8476,3.638
3.933,0.1744,0.8319,3.857
3.967,0.1525,0.8256,3.581
4.0,0.1516,0.8575,3.09
4.033,0.1315,0.8418,3.89
4.067,0.1435,0.869,3.875
4.1,0.1435,0.8368,2.982
4.133,0.1381,0.7969,2.946
4.167,0.1355,0.8492,3.19
4.2,0.1346,0.8361,3.58
4.233,0.1446,0.8565,3.263
4.267,0.1461,0.8438,3.22
4.3,0.1465,0.8245,2.881
4.333,0.1232,0.8219,3.612
4.367,0.1464,0.8222,4.048
4.4,0.1517,0.8255,3.417
4.433,0.1391,0.8574,4.082
4.467,0.1813,0.847,3.29
4.5,0.1058,0.8348,4.484
4.533,0.1501,0.8521,2.851
4.567,0.1277,0.8057,3.734
4.6,0.1394,0.8274,3.269
4.633,0.127,0.8103,3.73
4.667,0.1414,0.8064,2.628
4.7,0.1294,0.834,3.364
4.733,0.1333,0.8377,3.94
4.767,0.1638,0.865,3.828
4.8,0.1373,0.8242,3.814
4.833,0.1197,0.8195,3.82
4.867,0.1246,0.8503,3.176
4.9,0.1468,0.8207,3.486
4.933,0.1274,0.8584,3.988
4.967,0.109,0.8454,2.673
5.0,0.158,0.8293,4.028
5.033,0.1498,0.8466,4.008
5.067,0.1416,0.8192,3.353
5.1,0.205,0.2283,3.524
5.133,0.1563,0.2486,3.619
5.167,0.2038,0.257,3.204
5.2,0.1955,0.2419,3.073
5.233,0.1435,0.2491,3.401
5.267,0.1713,0.2334,4.115
5.3,0.1977,0.2451,2.646
5.333,0.1878,0.2582,3.728
5.367,0.2142,0.2292,4.438
5.4,0.1746,0.2755,3.53
5.433,0.203,0.2389,3.469
5.467,0.1749,0.248,3.089
5.5,0.2192,0.23,2.971
5.533,0.1998,0.2229,3.166
5.567,0.2057,0.2441,3.691
5.6,0.2167,0.2506,3.072
5.633,0.1923,0.2296,3.793
5.667,0.1748,0.2354,3.139
5.7,0.2002,0.2431,3.543
5.733,0.1945,0.245,3.82
5.767,0.2045,0.2699,3.287
5.8,0.1938,0.2556,3.704
5.833,0.1646,0.2089,3.097
5.867,0.1733,0.2494,3.192
5.9,0.1703,0.2211,3.629
5.933,0.2,0.2396,4.107
5.967,0.1862,0.2288,2.809
6.0,0.1996,0.2441,3.726
6.033,0.188,0.2227,2.482
6.067,0.1667,0.2665,3.225
6.1,0.4092,0.365,2.963
6.133,0.4353,0.3512,3.227
6.167,0.448,0.3601,3.233
6.2,0.3992,0.3488,2.767
6.233,0.4298,0.4206,3.951
6.267,0.4464,0.394,3.666
6.3,0.4258,0.3971,3.236
6.333,0.4352,0.3885,4.142
6.367,0.437,0.4142,3.842
6.4,0.4509,0.4138,3.62
6.433,0.4312,0.4056,3.649
6.467,0.4444,0.3644,3.253
6.5,0.4175,0.4003,3.602
6.533,0.4324,0.4029,2.739
6.567,0.4339,0.3854,3.537
6.6,0.4186,0.353,3.537
6.633,0.4468,0.3767,3.621
6.667,0.4285,0.3745,3.337
6.7,0.4397,0.3798,3.236
6.733,0.4204,0.3752,3.235
6.767,0.4211,0.3842,4.672
6.8,0.4367,0.3399,3.976
6.833,0.4149,0.38,3.843
6.867,0.4476,0.3971,3.213
6.9,0.4204,0.3682,3.734
6.933,0.4297,0.3688,3.418
6.967,0.4405,0.4126,2.857
7.0,0.4494,0.4006,3.909
7.033,0.0803,0.3078,3.007
7.067,0.0918,0.2825,3.219
7.1,0.0596,0.284,3.722
7.133,0.0611,0.2535,3.486
7.167,0.0594,0.2598,2.28
7.2,0.0998,0.2651,2.813
7.233,0.0903,0.2799,2.699
7.267,0.0738,0.2833,4.279
7.3,0.0792,0.312,3.39
7.333,0.0564,0.2698,3.271
7.367,0.0801,0.2904,3.729
7.4,0.0531,0.2714,3.532
7.433,0.0957,0.2751,3.146
7.467,0.0702,0.2722,4.206
7.5,0.0624,0.2921,4.348
7.533,0.0555,0.2852,3.678
7.567,0.0797,0.2541,3.075
7.6,0.0818,0.2907,3.8
7.633,0.1035,0.2858,3.67
7.667,0.0734,0.2824,3.834
7.7,0.0529,0.2894,4.114
7.733,0.0867,0.2573,3.696
7.767,0.042,0.2532,3.881
7.8,0.0671,0.2669,3.723
7.833,0.0937,0.2809,3.181
7.867,0.0657,0.2871,3.194
7.9,0.0746,0.2645,3.138
7.933,0.4536,0.8444,3.339
7.967,0.4324,0.8192,2.967
8.0,0.4284,0.8004,3.494
8.033,0.4234,0.786,4.112
8.067,0.4567,0.8057,3.343
8.1,0.4163,0.7863,3.695
8.133,0.4358,0.8118,3.3
8.167,0.4419,0.7901,3.224
8.2,0.4163,0.7791,3.505
8.233,0.4448,0.8075,3.46
8.267,0.4617,0.8033,2.809
8.3,0.4425,0.7999,3.293
8.333,0.4115,0.8273,3.307
8.367,0.4113,0.8217,3.622
8.4,0.4577,0.7915,3.327
8.433,0.4301,0.8067,2.799
8.467,0.4292,0.8223,3.176
8.5,0.4102,0.7856,2.996
8.533,0.4401,0.7931,3.254
8.567,0.4485,0.7924,3.523
8.6,0.4249,0.8311,2.999
8.633,0.4257,0.7914,3.581
8.667,0.4341,0.8098,4.162
8.7,0.4375,0.8053,3.441
8.733,0.4657,0.7926,3.408
8.767,0.4362,0.8191,3.202
8.8,0.6653,0.6355,3.618
8.833,0.7047,0.5944,3.866
8.867,0.6965,0.6045,3.664
8.9,0.6817,0.6226,3.364
8.933,0.6923,0.6107,4.373
8.967,0.6701,0.6323,3.849
9.0,0.6729,0.6121,3.523
9.033,0.6737,0.6159,2.823
9.067,0.6693,0.6171,3.77
9.1,0.685,0.622,3.552
9.133,0.6943,0.6478,3.065
9.167,0.6834,0.6146,3.618
9.2,0.6767,0.6012,3.842
9.233,0.7079,0.6066,4.388
9.267,0.6585,0.6037,4.186
9.3,0.6983,0.596,3.074
9.333,0.709,0.6288,3.542
9.367,0.6866,0.604,4.017
9.4,0.6731,0.6277,3.847
9.433,0.6895,0.608,3.355
9.467,0.657,0.6231,2.443
9.5,0.6608,0.6227,3.381
9.533,0.6787,0.6097,3.3
9.567,0.32,0.4541,3.066
9.6,0.3195,0.4494,3.773
9.633,0.31,0.4367,3.924
9.667,0.2893,0.483,3.229
9.7,0.3168,0.4715,3.467
9.733,0.303,0.481,3.292
9.767,0.3434,0.4432,3.889
9.8,0.3255,0.4214,4.221
9.833,0.3039,0.4513,3.384
9.867,0.3191,0.4665,3.912
9.9,0.3065,0.4606,3.733
9.933,0.3097,0.4878,3.052
9.967,0.2837,0.4452,3.109
10.0,0.3134,0.4546,3.709
10.033,0.2703,0.4368,2.673
10.067,0.3209,0.4578,3.343
10.1,0.2719,0.4445,3.81
10.133,0.3158,0.45,2.871
10.167,0.3039,0.4134,3.447
10.2,0.2885,0.444,2.911
10.233,0.3316,0.4394,3.614
10.267,0.3109,0.4357,3.232
10.3,0.3105,0.4734,3.813
10.333,0.3067,0.4487,3.227
10.367,0.3292,0.4353,3.618
10.4,0.3109,0.4385,3.201
10.433,0.3262,0.4466,3.493
10.467,0.3292,0.4821,3.242
10.5,0.2969,0.4735,3.9
10.533,0.3333,0.4486,3.835
10.567,0.7386,0.5124,3.594
10.6,0.7418,0.5115,3.122
10.633,0.762,0.5156,4.14
10.667,0.7333,0.5112,4.003
10.7,0.7291,0.4854,3.62
10.733,0.7484,0.5214,3.489
10.767,0.7137,0.5278,2.799
10.8,0.7854,0.5377,3.694
10.833,0.6903,0.5186,3.706
10.867,0.7486,0.522,3.236
10.9,0.7691,0.5127,3.338
10.933,0.718,0.496,3.557
10.967,0.7479,0.5113,3.684
11.0,0.7581,0.5097,3.105
